Slope Angle,Cohesion,Friction Angle,Unit Weight,Height of slope,Soil Type,X,Y,Z,Slope_ID
3.6496180387488214e-08,15.719225269840653,29.371961925056354,18.643582295650045,6.94397193248201e-10,Clay,0.0,0.0,6.94397193248201e-10,1
5.423057534964977e-08,18.296263987466652,27.189035694946327,19.83290677829828,1.1448090186690938e-09,Clay,1.0101010101010102,0.0,1.1448090186690938e-09,2
8.774797152527288e-08,15.48779212023027,20.45528579117096,19.64973845690087,1.8682156387803896e-09,Clay,2.0202020202020203,0.0,1.8682156387803896e-09,3
1.4055192514960205e-07,15.130008540394908,20.768808588012373,18.490196372747942,3.0177957332905276e-09,Clay,3.0303030303030303,0.0,3.0177957332905276e-09,4
2.2286651706263195e-07,15.257837181896274,25.155408282795747,19.437155332560064,4.825269260544115e-09,Clay,4.040404040404041,0.0,4.825269260544115e-09,5
3.498345350909958e-07,19.799336064528042,28.95389415596685,19.755525440771915,7.636988585709772e-09,Clay,5.050505050505051,0.0,7.636988585709772e-09,6
5.436155975294825e-07,18.498396154580846,23.542858590346526,18.314313788984464,1.1964418780835686e-08,Clay,6.0606060606060606,0.0,1.1964418780835686e-08,7
8.36246083532565e-07,15.202801889087482,29.224803810202705,20.72617146366181,1.8553675049913042e-08,Clay,7.070707070707071,0.0,1.8553675049913042e-08,8
1.2734762843039822e-06,16.736398696383944,28.19766996832924,19.31457565529588,2.8479814881756737e-08,Clay,8.080808080808081,0.0,2.8479814881756737e-08,9
1.9198347810837657e-06,15.62077444390129,28.41769692639311,21.724301521477404,4.327262626998058e-08,Clay,9.090909090909092,0.0,4.327262626998058e-08,10
2.8651988123669055e-06,15.859616243363854,23.539376641624894,19.54868519868381,6.508160002612651e-08,Clay,10.101010101010102,0.0,6.508160002612651e-08,11
4.233165987269413e-06,19.64335361069169,26.325315613474416,21.773026444964163,9.688846265041983e-08,Clay,11.111111111111112,0.0,9.688846265041983e-08,12
6.191518949390694e-06,18.090616306915862,23.31616473390438,18.972185263192543,1.4277585979258133e-07,Clay,12.121212121212121,0.0,1.4277585979258133e-07,13
8.965040581703504e-06,15.720002002569903,22.55873888139377,20.64580853344008,2.0826024703115963e-07,Clay,13.131313131313131,0.0,2.0826024703115963e-07,14
1.2850861872524113e-05,19.06491942193496,26.10681794047857,20.335396004082863,3.006954454795991e-07,Clay,14.141414141414142,0.0,3.006954454795991e-07,15
